order_id;data_pedido;status;ano;mes;mes_ano;pedido_valido;customer_id;estado_cliente;product_id;categoria;seller_id;price;frete;receita
00259a44fcad3fc0474329e925d14fc3;27/12/2017;delivered;2017;12;01/12/2017;Sim;7715f80f77f2ebf4583f97a0a6a7548b;MG;0c4d0a08f95c7b7dc5dc7402bfdafd4c;informatica_acessorios;9f505651f4a6abe901a56cdc21508025;19,99;14,1;34,09
00275bce676303c3bfd7292aefdfa223;24/11/2017;delivered;2017;11;01/11/2017;Sim;a12427487c970a4a75dbeb5884f126a8;SP;6490b9f63b0b595e1c1402b46b0f50ad;telefonia;99eaacc9e6046db1c82b163c5f84869f;279,9;13,46;293,36
003edccf16bc5ec447f592913b3df2b4;07/07/2018;delivered;2018;7;01/07/2018;Sim;ab3642244247c0c638253fe68ee4c345;MA;500870614ddcf5bd84f7d26861026c8a;telefonia;ef506c96320abeedfb894c34db06f478;14;50,85;64,85
00471463a6106056c1a2a809f70de640;21/09/2017;delivered;2017;9;01/09/2017;Sim;fcad74a7e0dff27c33e36cbd78280bf9;DF;9df0e8a7eef2a38b74e6d5c0e224b11f;moveis_decoracao;7c67e1448b00f6e969d365cea6b010ab;179,99;85,97;265,96
0064d74f7de7917d54768d7722ad56ac;10/09/2017;delivered;2017;9;01/09/2017;Sim;29dbee0c474f373b72267a9e886522ee;RJ;fa11ecd35f999783e96ac500532d9d45;cool_stuff;2e90cb1677d35cfe24eef47d441b7c87;189,9;31,17;221,07
00685d31ae12e47470ba5c18ba74f22c;27/08/2017;delivered;2017;8;01/08/2017;Sim;eac2fb60d3f12675772fa03f9d8f8ddb;RS;71bdf1a4d18c3cd68f108547f0b4cd1c;moveis_decoracao;6fc26fe110feebd80a433e1f012a84f9;59;16,17;75,17
007c7cb12ef3567531307ca78d395758;20/02/2018;delivered;2018;2;01/02/2018;Sim;b4c4af6dbbbbafcfd8d6863fa0fc6e61;GO;15c30c08ae39469fbf52befff9569adb;eletronicos;7e93a43ef30c4f03f38b393420bc753a;179;16;195
008a40c2b8b21893e04945ce58854b55;29/04/2018;delivered;2018;4;01/04/2018;Sim;a11dde3e6e22e6541818f5e81563bfc7;SP;016711f78a6a87696645db0a6a834826;beleza_saude;a5cba26a62b8b4d0145b68b841e62e7f;99;13;112
00921e4911895b93c7b4fc0d80c0815e;13/06/2018;delivered;2018;6;01/06/2018;Sim;0825646a316d8b2bdddea079a5e01fda;SP;cbecf0dca7a42c56c9ad9e20c74af1fd;utilidades_domesticas;688756f717c462a206ad854c5027a64a;85;11,62;96,62
009e11afa25aa95ae78e60a793995c9b;19/10/2017;delivered;2017;10;01/10/2017;Sim;1b7c152aba1c7478309329cfec0bb5d1;AM;519f3a4ea67cdce4923fbc76badd6bd2;ferramentas_jardim;582d4f8675b945722eda7c0cb61ba4c7;30,99;34,15;65,14
00b402e8a76d3da83714c52d3977cc2d;01/01/2018;delivered;2018;1;01/01/2018;Sim;ffca23943c4b620ea24812018373fa3f;BA;72d6074ef5c81ec3102b3f2a052c5f49;beleza_saude;edb1ef5e36e0c8cd84eb3c9b003e486d;139,65;26,26;165,91
00b47ee856118583dbec7d1f9b18d847;26/03/2018;delivered;2018;3;01/03/2018;Sim;7f6a163f7d28e407e5eaa735bf7014c5;DF;0e40b1ed4cfd3da1962ec91913e54ba8;eletronicos;8b321bb669392f5163d04c59e235e066;13,65;15,23;28,88
00c47cfa491ef55779ec7557673087fc;23/07/2018;delivered;2018;7;01/07/2018;Sim;7ccd57bc5c4e0f34fcbc9209b2d4bdfa;SP;e62d582ddb7630168d7227ca1f9edbd2;perfumaria;1c56ffe0e9dea2657fc6e95b53f40b13;59;13,07;72,07
00c62d05602c1ca8164b98746d127fa8;03/06/2018;delivered;2018;6;01/06/2018;Sim;2c64fc3c9f0672a9f2481654a7bf109b;GO;8e7a3ee016b12c87b5e3e7e717620758;industria_comercio_e_negocios;955fee9216a65b617aa5c0531780ce60;110;18,35;128,35
00d15ff0236872686e4899ed1ce680ad;07/08/2018;delivered;2018;8;01/08/2018;Sim;8ebb06c13ec14673af1630a22715f4bd;SC;702a14f9c5a93130c3346c4de901d864;esporte_lazer;55029529919c0123526150bd26ca8f20;57,95;22,34;80,29
00d29386638bbfd1331a2cd7ab91b5b5;26/09/2017;delivered;2017;9;01/09/2017;Sim;df6e8e7769e4a072c31ca99bf69fab12;SP;5fb8e63ae576fbfbd243c50c5ce74050;telefonia;ea8482cd71df3c1969d7b9473ff13abc;20,99;11,85;32,84
00f1bb0af030935db1745ee28367ea26;06/08/2018;delivered;2018;8;01/08/2018;Sim;0d8111a81ce6ed7cb969e28a01392f63;ES;677d8ace413e0060fa8686cde56eaf10;relogios_presentes;4869f7a5dfa277a7dca6462dcf3b52b2;268,9;19,98;288,88
00f251b943aba645652c7138e4716fee;13/08/2018;delivered;2018;8;01/08/2018;Sim;3d54e262ab34438486bd0eb8bf022c2f;RS;35afc973633aaeb6b877ff57b2793310;casa_conforto;4a3ca9315b744ce9f8e9374361493884;77,9;23,35;101,25
00f324f6ec332cd73ef8be4888573662;29/06/2017;delivered;2017;6;01/06/2017;Sim;e067722fcbc90ea29be6932c863fea87;SP;2a2d22ae30e026f1893083c8405ca522;cama_mesa_banho;1a3df491d1c4f1589fc2b934ada68bf2;134,9;21,43;156,33
00fc308dd7f0937682698becaa9dcc45;20/08/2018;delivered;2018;8;01/08/2018;Sim;f40f31f8bfcc5f74d9d246354b90af09;MG;940d38f0ef286bd93612fcdc91dd38ed;utilidades_domesticas;53e4c6e0f4312d4d2107a8c9cddf45cd;85,71;18,4;104,11
010078e0913f48d014483bd856c01ca1;26/11/2017;delivered;2017;11;01/11/2017;Sim;cba40225005628d0bb62cc9d15c9333f;SP;96f608a5fe010cb34dc25baee3274444;cama_mesa_banho;6fd52c528dcb38be2eea044946b811f8;49,89;8,72;58,61
010ff1cfe12f3094577e72b7bcecdf98;11/10/2017;delivered;2017;10;01/10/2017;Sim;7496d369c45e3249794df2d9b132a3e3;SP;3fe46d73f7527ad59e36c21c3e783041;consoles_games;e06f09ec0a4aca210779cf1cfc63cf19;249;13,24;262,24
01156b662f3f47b249b5a8881d205f08;13/09/2017;delivered;2017;9;01/09/2017;Sim;ac7787b04da7c05fe6037343bd8bf577;RS;6a8631b72a2f8729b91514db87e771c0;eletronicos;128639473a139ac0f3e5f5ade55873a5;27,9;15,1;43
01235dc626dcf13283207ba7f36a959a;24/07/2018;delivered;2018;7;01/07/2018;Sim;f418fa622ecaa0dc1bc8524446faf6fd;SP;176faef125e3675b4eeaa6083ada61e1;bebes;855668e0971d4dfd7bef1b6a4133b41b;25,99;5,31;31,3
01235dc626dcf13283207ba7f36a959a;24/07/2018;delivered;2018;7;01/07/2018;Sim;f418fa622ecaa0dc1bc8524446faf6fd;SP;10dae91e0aba95747e90280edeffe883;bebes;855668e0971d4dfd7bef1b6a4133b41b;25,99;9,57;35,56
0124e0c5bfae1979838a91e47df53f14;08/02/2018;delivered;2018;2;01/02/2018;Sim;6bf7cea1d53d6e27e5debdb2d5049ff6;SP;0bcc3eeca39e1064258aa1e932269894;ferramentas_jardim;1f50f920176fa81dab994f9023523100;49,9;12,48;62,38
012670c73246a753cbde0a215c2b9e8f;02/03/2018;delivered;2018;3;01/03/2018;Sim;bfd798b55813a211343f1612ecc25b17;RJ;93c902b021a9e594f658ab1b0351602a;eletronicos;2e90cb1677d35cfe24eef47d441b7c87;97,9;16,94;114,84
014872cb0c4fc7695c70484966baa65c;09/03/2018;delivered;2018;3;01/03/2018;Sim;b103b8c8af8eb17c72c213b36ccd4f34;MG;f9471562478eba8761bc985b968a0092;utilidades_domesticas;3785b653b1b82de85ab47dd139938091;54,9;23,31;78,21
0148d3df00cebda592d4e5f966e300cc;19/08/2017;canceled;2017;8;01/08/2017;Não;672510553bcfbf72de694db2cd88f046;SP;ed08ea04c92f5f434c2362f7310fb328;utilidades_domesticas;0adac9fbd9a2b63cccaac4f8756c1ca8;5,53;11,85;17,38
0149c597dcc0963d7315f904495b631c;26/04/2018;delivered;2018;4;01/04/2018;Sim;a9bb000979210a35541c29601f2dc03e;SP;b0ed7fe63babb3e705115f53fa74b20c;eletrodomesticos;dbd66278cbfe1aa1000f90a217ca4695;29;8,88;37,88
0171ca1dc94d8ebde8bbd3b686f44c41;27/04/2018;delivered;2018;4;01/04/2018;Sim;acda4e3bd86587774d6a17b8e8d7e47b;SP;b3145c36d221143053908beb4564bad9;moveis_decoracao;79ebd9a61bac3eaf882805ed4ecfa12a;64,9;19,42;84,32
0182f6cbb4fb10918a76485fc92d7c49;25/11/2017;delivered;2017;11;01/11/2017;Sim;16c11c76b58be7de894336de67d21260;SP;7272a36ac93b0f214500840025f04a73;moveis_decoracao;79ebd9a61bac3eaf882805ed4ecfa12a;14,9;15,1;30
018cb6a10649393055c272ba2984e8bb;03/04/2018;delivered;2018;4;01/04/2018;Sim;169c3ca987a830baef97320592292dae;GO;3c949f7dabf571691248f935a0063fbd;beleza_saude;ececbfcff9804a2d6b40f589df8eef2b;56,8;18,28;75,08
01946da9e2db8bab61d79296c037ee1f;06/01/2018;delivered;2018;1;01/01/2018;Sim;14532f1320645821a6da04e049dc6b53;RJ;93c902b021a9e594f658ab1b0351602a;eletronicos;2e90cb1677d35cfe24eef47d441b7c87;97,9;16,94;114,84
019536ad39a0dea8bb75c00359a0386b;01/09/2017;delivered;2017;9;01/09/2017;Sim;958b47e797d9db0979238d3b7fc08b9b;PB;f646af315b0f3a597f69213537ca2199;moveis_decoracao;3df020b72d3d44b3af9d110fa3940b65;49,9;35,67;85,57
01978b8bae8292ffb4cee6abdf9b9089;08/12/2017;delivered;2017;12;01/12/2017;Sim;a93aa8521621d68fc2a9bef496f701bb;DF;7bcf2266b78ccc737b8f26f925d3c5d4;perfumaria;1464afc72f696af775557a821c2e253f;42,9;15,1;58
01c0514b1f2a7375948323b959cc5682;25/07/2017;delivered;2017;7;01/07/2017;Sim;10e63f80462d8c370b091205b8f6d005;BA;1bef08f119466a85a83919d5b80facd3;cama_mesa_banho;d2374cbcbb3ca4ab1086534108cc3ab7;15,9;16,79;32,69
01d3d4cb8c553d507dfd26fbd8b41e95;29/10/2017;delivered;2017;10;01/10/2017;Sim;814dfd64a142fe2564faef3932b676b9;RJ;33e77eecc23c25a65d10f627e5053617;moveis_escritorio;7c67e1448b00f6e969d365cea6b010ab;114,94;34,16;149,1
01e6f40a293da5a9dc11e49695c7541d;29/05/2017;delivered;2017;5;01/05/2017;Sim;ccea9568a9b9092688e949bcb955ddd0;MG;f7ac498363699addc5ff78eadee46977;telefonia;2138ccb85b11a4ec1e37afbd1c8eda1f;48,99;15,1;64,09
01e7138289b75d9624b04dfe12379c1d;01/02/2018;delivered;2018;2;01/02/2018;Sim;f396261ffae591f9905c76e28c3ac59b;PR;5d66715cc928aadd0074f61332698593;eletronicos;128639473a139ac0f3e5f5ade55873a5;19,9;12,48;32,38
01f74d38c7379a28cc0ac3d90e80c7ea;31/01/2018;delivered;2018;1;01/01/2018;Sim;aa49a857b9196c3ecc7cd8cc02f954f9;SC;c1cf8f51eac90b1ff478250b3d35c37b;esporte_lazer;bc47d5d1490df2b36add65d733eafaba;29,9;15,1;45
